index,nome_sub_familia,quantidade,total_qtd,percent_qtd
38,BISCOITOS RECHEADOS,1129.0,572621.6050000001,0.1971633606105379
209,PAO QUEIJO/PIZZA,1128.0,572621.6050000001,0.196988725215843
57,CEREAIS,1096.0,572621.6050000001,0.19140039258560632
230,QUEIJO FORMA,1021.8339999999998,572621.6050000001,0.1784483839026646
197,MORTADELA P/FATIAR,991.1460000000011,572621.6050000001,0.17308917291026785
277,TEMPERADOS,985.5879999999989,572621.6050000001,0.17211854938655324
252,SAL,956.0,572621.6050000001,0.16695143732832082
220,PIPOCA,944.0,572621.6050000001,0.16485581259198206
45,CACHACA,921.0,572621.6050000001,0.16083919851399947
69,COCO RALADO/LEITE,918.0,572621.6050000001,0.16031529232991476
272,SUCOS/POLPAS,909.0,572621.6050000001,0.1587435737776607
16,ALIMENTOS SOJA,866.0,572621.6050000001,0.15123425180578015
261,SHAMPOO,855.0,572621.6050000001,0.14931326246413631
138,GELATINAS,841.0,572621.6050000001,0.14686836693840777
292,VODKA,838.0,572621.6050000001,0.14634446075432309
180,LIMPADOR PERFUMADO,787.0,572621.6050000001,0.13743805562488337
12,ALHO,786.6400000000009,572621.6050000001,0.13737518688279335
104,ENCARTELADOS,777.0,572621.6050000001,0.1356917016779344
91,DESINFETANTE 1E2 LT,769.0,572621.6050000001,0.13429461852037522
169,LEITE PO,740.0,572621.6050000001,0.12923019207422323
290,VINAGRE,737.0,572621.6050000001,0.12870628589013855
72,CONDIMENTOS MOLHOS,731.4879999999999,572621.6050000001,0.12774369559458026
21,APARELHO BARBEAR,722.0,572621.6050000001,0.1260867549697151
123,FERMENTO,716.5959999999995,572621.6050000001,0.1251430252967838
99,DETERGENTES/SABAO PO 1K,698.0,572621.6050000001,0.12189550549703759
60,CHA,690.0,572621.6050000001,0.12049842233947843
32,BANDEJAS/UNIDADE,686.0,572621.6050000001,0.11979988076069882
258,SARDINHA,686.0,572621.6050000001,0.11979988076069882
1,ACESSORIOS DE PERFUMARIA,684.0,572621.6050000001,0.11945060997130903
115,FARINHA DE MANDIOCA,671.0,572621.6050000001,0.1171803498402754
179,LIMPADOR MULTIUSO,671.0,572621.6050000001,0.1171803498402754
287,UTILIDADES,667.0,572621.6050000001,0.1164818082614958
107,ERVILHA,654.0,572621.6050000001,0.11421154813046215
28,AZEITES,623.0,572621.6050000001,0.10879785089492036
51,CARVAO,622.0,572621.6050000001,0.10862321550022547
116,FARINHA DE MILHO,617.0,572621.6050000001,0.10775003852675098
190,MANTEIGA,609.0,572621.6050000001,0.10635295536919182
166,LEITE IN NATURA,601.0,572621.6050000001,0.10495587221163265
29,AZEITONAS,561.0000000000002,572621.6050000001,0.09797045642383684
114,FARINACEOS,555.0,572621.6050000001,0.09692264405566743
