index,nome_sub_familia,quantidade,total_freq,percent_freq
95,DESODORANTE SPRAY,51,477485,0.010680963799909945
54,CATUABA,49,477485,0.01026210247442328
112,ESSENCIAS,46,477485,0.009633810486193285
36,BISCOITOS AMANTEIGADOS,46,477485,0.009633810486193285
150,HIDRATANTE,45,477485,0.00942437982344995
77,COQUETEIS,44,477485,0.009214949160706618
285,TRIGO P/KIBE,44,477485,0.009214949160706618
122,FEIJOADA,43,477485,0.009005518497963286
257,SAPONACEOS,41,477485,0.008586657172476623
109,ESMALTES,39,477485,0.008167795846989958
270,SUCOS CONCENTRADOS,36,477485,0.00753950385875996
198,OLEO COMPOSTO,34,477485,0.007120642533273296
262,SIDRA,31,477485,0.0064923505450433005
74,CONHAQUE,31,477485,0.0064923505450433005
282,TIRA MANCHAS,31,477485,0.0064923505450433005
14,ALIMENTO GATOS,29,477485,0.0060734892195566355
106,ENXAGUATORIO BUCAL,29,477485,0.0060734892195566355
265,SODAS CAUSTICAS,29,477485,0.0060734892195566355
182,LIMPADOR USO GERAL,29,477485,0.0060734892195566355
85,CREME/LOCAO/ESPUMA BARBA,28,477485,0.005864058556813303
129,FORMA,28,477485,0.005864058556813303
50,CARGAS,24,477485,0.005026335905839974
94,DESODORANTE ROLLON,24,477485,0.005026335905839974
213,PAPINHA INFANTIL,24,477485,0.005026335905839974
202,OUTRAS MISTURAS,23,477485,0.0048169052430966424
66,CHUVEIROS,23,477485,0.0048169052430966424
171,LENCOS PAPEL,22,477485,0.004607474580353309
193,MEL,22,477485,0.004607474580353309
73,CONFEITOS,22,477485,0.004607474580353309
212,PAPELARIA,22,477485,0.004607474580353309
52,CASCOS,22,477485,0.004607474580353309
88,CURATIVOS,21,477485,0.0043980439176099775
64,CHOCOLATES PO,20,477485,0.004188613254866645
81,CREME DE TRATAMENTO,19,477485,0.003979182592123313
269,SORVETE PICOLE,19,477485,0.003979182592123313
264,SOBREMESAS PO,18,477485,0.00376975192937998
153,INATIVOS,17,477485,0.003560321266636648
228,PURE DE BATATA,16,477485,0.003350890603893316
251,SAKE,15,477485,0.003141459941149984
250,SAGU,15,477485,0.003141459941149984
101,DOCES ACUCARADOS,15,477485,0.003141459941149984
90,DERIVADOS BOVINOS,15,477485,0.003141459941149984
246,SABONETE INTIMO,15,477485,0.003141459941149984
7,ADOCANTES,15,477485,0.003141459941149984
173,LICOR,15,477485,0.003141459941149984
143,GORDURAS,14,477485,0.0029320292784066515
217,PEPININHOS,14,477485,0.0029320292784066515
3,ACESSORIOS P/ANIMAIS,13,477485,0.002722598615663319
241,ROCAMBOLES/RECHEADOS,12,477485,0.002513167952919987
211,PAPEL MANTEIGA,12,477485,0.002513167952919987
105,ENXAGUANTE,12,477485,0.002513167952919987
70,COLONIAS/TALCOS,12,477485,0.002513167952919987
263,SOBREMESAS DIET/LIGH,10,477485,0.0020943066274333225
280,TERMICOS,10,477485,0.0020943066274333225
174,LIMPA FORNO/PEDRAS,10,477485,0.0020943066274333225
142,GOMA P/PASSAR,10,477485,0.0020943066274333225
249,SACOLAS/TAPETES,10,477485,0.0020943066274333225
151,HIGIENE,9,477485,0.00188487596468999
176,LIMPADOR C/CERA,8,477485,0.001675445301946658
170,LEITE PO ESPECIAIS,8,477485,0.001675445301946658
103,EMBALAGENS/USO GERAL,8,477485,0.001675445301946658
244,SABAO PASTA,7,477485,0.0014660146392033258
89,CURAU,6,477485,0.0012565839764599935
